customer_id,customer_name,email,registration_date,customer_type,email_valid
1,Micheal Larsen,christina78@example.com,2025-12-29,VIP,True
2,Jeffrey Phillips,michelle68@example.net,2026-05-01,VIP,True
3,Latoya Perry,patricia61@example.com,2026-06-08,REGULAR,True
4,Bethany Santana,wanda38@example.com,2026-02-20,VIP,True
5,Ashley Harper,dianafischer@example.org,2024-01-12,PREMIUM,True
6,Amy Stark,rdavis@example.org,2025-01-09,VIP,True
7,Christopher Cox Jr.,lance86@example.net,2024-07-30,VIP,True
8,Scott Holmes,ferrellcharles@example.com,2026-06-15,VIP,True
9,Shawn Moore,chapmankyle@example.org,2024-05-26,PREMIUM,True
10,Janice Salas,uavila@example.com,2026-06-13,PREMIUM,True
11,Gina Wood,friedmanshaun@example.org,2025-09-11,VIP,True
12,Jonathan Greer,reyesmary@example.com,2024-08-15,PREMIUM,True
13,Leslie Krause,jacob29@example.com,2024-07-19,REGULAR,True
14,Loretta Graham,qalvarez@example.com,2023-10-25,PREMIUM,True
15,Ian Mcdonald,angelacoleman@example.org,2024-11-13,REGULAR,True
16,Jessica Berger,bwilliams@example.com,2023-07-25,PREMIUM,True
17,John Cruz,alyssa13@example.com,2025-04-21,VIP,True
18,Ricardo Perez,wstephens@example.org,2025-12-30,VIP,True
19,Anthony Davis,robertbennett@example.org,2024-03-29,VIP,True
20,Jessica Carrillo,rogerssandra@example.net,2023-08-30,REGULAR,True
21,Matthew Foley,pughterrance@example.com,2026-05-04,VIP,True
22,James Padilla,luceroamy@example.org,2025-09-20,REGULAR,True
23,Alexis Heath,andersongloria@example.org,2024-01-02,VIP,True
24,Amber Bowman,mooremichelle@example.net,2023-10-31,PREMIUM,True
25,Matthew Smith Jr.,ucoleman@example.net,2024-10-07,REGULAR,True
26,Donald Bishop,nmelton@example.org,2023-08-08,PREMIUM,True
27,Monique Snyder,henrysamantha@example.com,2025-04-07,REGULAR,True
28,Megan Baker,carolineallen@example.com,2024-12-26,VIP,True
29,Crystal Obrien,hayesjeremy@example.net,2023-12-27,REGULAR,True
30,Jordan Jackson,odavis@example.org,2024-12-10,PREMIUM,True
31,Todd Estrada,landrews@example.com,2025-07-29,REGULAR,True
32,John Holmes,chadgreen@example.com,2025-08-03,PREMIUM,True
33,Terry Ware,invalidemail.com,2023-11-10,VIP,False
34,Richard Riley,michael24@example.net,2024-10-27,REGULAR,True
35,Ryan Jackson,wlyons@example.org,2024-01-25,VIP,True
36,Brandon Hines,invalidemail.com,2026-05-09,REGULAR,False
37,Suzanne Fowler,bridgetpowell@example.net,2023-10-16,VIP,True
38,Heather Martinez,joseph01@example.net,2026-07-15,VIP,True
39,Molly Johnson,jessedickson@example.net,2025-09-05,PREMIUM,True
40,Richard Mcmahon,williamsmelissa@example.org,2025-01-16,REGULAR,True
41,Nicholas Rice,kristin95@example.org,2026-01-23,REGULAR,True
42,Patrick Sherman,williamselizabeth@example.org,2024-11-18,PREMIUM,True
43,Timothy Brown,kylie55@example.com,2025-03-13,VIP,True
44,Terri Owen MD,melissabridges@example.com,2024-10-10,VIP,True
45,Eddie Cox,michelle01@example.net,2025-09-23,REGULAR,True
46,Bobby Clark,mooreeric@example.com,2025-06-03,REGULAR,True
47,Brandon Gates,mooremichael@example.com,2023-11-15,PREMIUM,True
48,Thomas Reeves,laurennelson@example.org,2024-03-19,PREMIUM,True
49,Lisa Stevenson,williamsjessica@example.net,2024-11-12,VIP,True
50,Suzanne Welch,josephwall@example.org,2025-06-08,PREMIUM,True
51,Christopher Chavez,frichardson@example.com,2023-09-09,REGULAR,True
52,Anthony King,zgomez@example.org,2023-11-01,VIP,True
53,Michelle Frazier MD,caitlin17@example.net,2024-03-22,PREMIUM,True
54,Jennifer Harding,josephlong@example.org,2026-01-09,REGULAR,True
55,Amy Brown,stephen23@example.org,2025-11-30,PREMIUM,True
56,Dennis Hernandez,maxjones@example.org,2024-07-17,PREMIUM,True
57,Diane Sutton,sheltonkaren@example.org,2025-07-03,PREMIUM,True
58,Jessica Heath,michael04@example.org,2025-01-31,VIP,True
59,Tyler Reese,nzimmerman@example.net,2024-11-16,PREMIUM,True
60,Melissa Valentine,vrowland@example.org,2024-04-18,PREMIUM,True
61,Dwayne Jackson,wcantu@example.com,2025-07-23,REGULAR,True
62,Laurie Marshall,martinanthony@example.net,2025-12-02,VIP,True
63,Justin Wu,danielsmith@example.org,2026-05-11,VIP,True
64,Dakota Browning,anthonyrose@example.org,2026-01-20,REGULAR,True
65,Ellen Acevedo,invalidemail.com,2024-09-18,REGULAR,False
66,Sean Wagner MD,waltonmary@example.org,2025-10-09,REGULAR,True
67,Patrick Cruz,russell15@example.com,2025-11-07,VIP,True
68,Elizabeth Brown,chambersjames@example.org,2024-08-04,PREMIUM,True
69,Erik Ruiz,laura82@example.net,2025-12-17,VIP,True
70,Heather Skinner,woodsmariah@example.com,2025-06-04,VIP,True
71,Jeffrey Griffin,rushstephen@example.net,2024-11-11,VIP,True
72,Deborah Stewart,bonnie56@example.net,2026-07-16,PREMIUM,True
73,Susan Daugherty,enewton@example.org,2025-08-08,VIP,True
74,Courtney Anderson,christina03@example.com,2024-07-19,PREMIUM,True
75,Christina Riggs,jonathan69@example.net,2024-12-28,VIP,True
76,Robert Alvarado,margaret79@example.org,2023-10-16,PREMIUM,True
77,Suzanne Johnson,shanegomez@example.com,2024-10-26,REGULAR,True
78,Brittany Brooks,rjohnson@example.net,2024-11-27,VIP,True
79,Brittney Perez,joshua75@example.org,2026-06-09,PREMIUM,True
80,Eric Johnson,gregorybonnie@example.org,2024-02-28,PREMIUM,True
81,Sandra Cooke,sabrinakelley@example.net,2023-09-16,PREMIUM,True
82,Cindy Skinner,srobinson@example.org,2026-05-13,VIP,True
83,Angela West,christina59@example.com,2026-05-05,REGULAR,True
84,Douglas Jones,uperry@example.com,2025-05-06,PREMIUM,True
85,Jason Taylor,fmcdowell@example.net,2023-10-21,REGULAR,True
86,Tammy Singh,wpeters@example.com,2026-03-05,REGULAR,True
87,Richard Jackson,nlivingston@example.org,2023-08-02,REGULAR,True
88,Connie Baker,golson@example.com,2024-04-10,PREMIUM,True
89,James Scott,twillis@example.net,2025-06-19,VIP,True
90,Gary Leblanc,diana42@example.com,2023-08-24,PREMIUM,True
91,Alyssa Griffin,monica82@example.com,2023-10-13,REGULAR,True
92,Kathleen Juarez,burtoncolleen@example.com,2025-10-26,REGULAR,True
93,Hailey Garcia,ikaiser@example.com,2024-10-01,PREMIUM,True
94,Amanda Mata,wendy72@example.com,2024-07-02,REGULAR,True
95,Wendy Garcia,antonio79@example.org,2024-05-07,REGULAR,True
96,Christy Logan,david65@example.net,2026-02-11,VIP,True
97,Sean Rios,davidcampos@example.com,2026-06-25,VIP,True
98,David Hooper,tyler67@example.com,2025-07-06,PREMIUM,True
99,Nathaniel Williams,jasonsantana@example.com,2023-11-04,PREMIUM,True
100,Maria Adams,john26@example.com,2024-08-20,REGULAR,True
101,Deborah Greene MD,andrewwhite@example.org,2024-11-06,PREMIUM,True
102,Adam Sanchez,hansonmichael@example.net,2024-08-27,PREMIUM,True
103,Julia Davenport,kylegillespie@example.net,2023-11-19,REGULAR,True
104,Gregory Torres,dylangiles@example.com,2025-06-11,REGULAR,True
105,Victoria Fisher,joseph55@example.net,2025-05-18,REGULAR,True
106,Sara Sanchez,sanfordkayla@example.net,2026-03-27,PREMIUM,True
107,Theresa Jones,jennifer57@example.org,2025-01-02,PREMIUM,True
108,Morgan Spencer,christopher50@example.net,2023-09-23,PREMIUM,True
109,Jon Turner,wwelch@example.org,2026-01-04,REGULAR,True
110,Amanda Curry,joseph60@example.net,2024-07-07,PREMIUM,True
111,Lisa Cobb,invalidemail.com,2026-05-05,PREMIUM,False
112,Aaron Archer,caitlinguerrero@example.org,2024-06-13,REGULAR,True
113,Amy Taylor,ballardrichard@example.net,2023-08-15,VIP,True
114,Brian Martin,leejames@example.org,2024-09-08,VIP,True
115,Julie Jones,murphyedward@example.org,2026-05-22,VIP,True
116,Theresa Jenkins,patricia94@example.com,2024-02-08,VIP,True
117,Craig Campbell,smithdavid@example.com,2025-12-04,REGULAR,True
118,Nicholas Pena,jacob50@example.net,2024-06-18,VIP,True
119,Katherine Wheeler DDS,melanie53@example.net,2025-11-26,VIP,True
120,Robert Bishop,jerry13@example.net,2026-05-01,VIP,True
121,Rebecca Lopez,cstrong@example.org,2026-07-06,VIP,True
122,Susan Robinson,billygray@example.net,2023-11-14,PREMIUM,True
123,Madeline Washington,wendy81@example.com,2025-06-12,PREMIUM,True
124,Samuel Rogers,ashleyronald@example.org,2026-07-05,REGULAR,True
125,Angela Dillon,usanders@example.com,2024-01-04,VIP,True
126,Albert Miller,eatonmonica@example.net,2024-03-08,VIP,True
127,Kara Lucas,kmedina@example.net,2025-04-15,VIP,True
128,Virginia Robertson,harrisstephanie@example.org,2025-02-20,PREMIUM,True
129,Daniel Booth,mcintyreadam@example.net,2024-10-08,REGULAR,True
130,David Giles,jamiebrown@example.net,2026-03-22,PREMIUM,True
131,Megan Mclean,mberry@example.org,2025-07-16,VIP,True
132,Hannah Cooper,xgraham@example.org,2024-03-10,REGULAR,True
133,Andrew Stone,maddoxkelsey@example.net,2025-08-17,REGULAR,True
134,Michelle Francis,fcooper@example.org,2024-10-11,VIP,True
135,Nathaniel Rodgers,marcus53@example.com,2025-08-20,VIP,True
136,Jeffery Scott,courtney23@example.com,2025-12-03,PREMIUM,True
137,Leah Copeland,janet34@example.com,2025-10-16,VIP,True
138,Stephanie Short,sanchezkaren@example.com,2024-04-20,VIP,True
139,Cynthia Curry,lhall@example.org,2024-09-26,REGULAR,True
140,Ricky Peterson,irwinkaren@example.org,2026-04-14,REGULAR,True
141,Fernando Estes,frank22@example.net,2023-09-30,PREMIUM,True
142,Benjamin Murphy,jacksonmarcus@example.net,2024-10-25,PREMIUM,True
143,Faith Miller,imiller@example.org,2024-07-15,REGULAR,True
144,Kyle Vega,matthew70@example.org,2024-10-20,REGULAR,True
145,Allison Lynch,thompsonelizabeth@example.net,2026-02-01,VIP,True
146,Michael Sullivan,chelsea05@example.org,2023-12-15,VIP,True
147,Pamela Reilly,mark86@example.com,2023-08-07,VIP,True
148,Michael Jackson,amyramsey@example.com,2024-12-03,REGULAR,True
149,Kim Nelson,nicole22@example.net,2025-12-27,REGULAR,True
150,Daniel Smith,daniel01@example.org,2026-04-14,PREMIUM,True
151,Victoria Todd,christinecoleman@example.org,2026-07-16,VIP,True
152,Jason Moore,kelly50@example.net,2026-02-13,VIP,True
153,Dr. Gregory Willis III,lisajones@example.org,2026-01-03,REGULAR,True
154,Christina Holland,luisberger@example.net,2024-06-07,PREMIUM,True
155,Haley Snyder,catherine55@example.com,2026-07-16,VIP,True
156,Samuel Curtis,curtismoore@example.com,2026-04-21,REGULAR,True
157,Charles Barron,vaughanpatricia@example.com,2024-03-12,VIP,True
158,Joanna Clark,john51@example.org,2025-11-08,PREMIUM,True
159,Angela Evans,oscar99@example.net,2025-11-14,PREMIUM,True
160,Deanna Dixon,stricklandsheila@example.net,2024-05-03,REGULAR,True
161,Lauren Hanna,invalidemail.com,2024-12-02,PREMIUM,False
162,Brian Faulkner,fcraig@example.net,2023-09-07,REGULAR,True
163,Suzanne Neal,ustephenson@example.org,2025-07-25,VIP,True
164,Gina Lee,heatherholmes@example.net,2024-10-21,PREMIUM,True
165,Tammie Morrow,iroberson@example.com,2023-09-08,REGULAR,True
166,Andrew Cooper,kbrown@example.net,2025-11-24,REGULAR,True
167,Ryan Smith MD,craigrios@example.com,2026-02-27,REGULAR,True
168,James Mendoza,lwilliams@example.net,2026-06-20,VIP,True
169,Brian Wells,sandracarter@example.com,2024-07-25,PREMIUM,True
170,Sheila Thomas,carolyn41@example.com,2023-12-10,PREMIUM,True
171,Jordan Henry,josephbutler@example.com,2025-12-02,REGULAR,True
172,Stephanie Adams,heather07@example.org,2023-07-28,REGULAR,True
173,Mark Brown,davishaley@example.net,2025-02-12,PREMIUM,True
174,Jay Nicholson,lsmith@example.com,2025-02-17,REGULAR,True
175,Brittany Cross,gibsoncharles@example.net,2025-04-10,PREMIUM,True
176,Erica May,kaitlyn32@example.com,2024-04-10,PREMIUM,True
177,Sharon Lewis,melissamartinez@example.com,2024-09-09,REGULAR,True
178,Andrew Robinson,vhouse@example.org,2025-06-13,PREMIUM,True
179,Dana Molina,robert52@example.org,2023-08-23,VIP,True
180,David Watson,tdiaz@example.com,2024-10-17,PREMIUM,True
181,Lisa Mays,dylanjefferson@example.org,2025-10-28,VIP,True
182,Bradley Barajas,stephanie35@example.net,2023-11-27,PREMIUM,True
183,Antonio Bowman,loganpena@example.org,2024-06-07,REGULAR,True
184,Mr. Rodney Taylor,catherine01@example.net,2024-08-04,VIP,True
185,Sheila Ramsey,invalidemail.com,2024-01-11,PREMIUM,False
186,Lindsey Yang,invalidemail.com,2026-01-19,VIP,False
187,Bruce Warren,melindanelson@example.org,2025-05-13,PREMIUM,True
188,Mr. Michael Crane DDS,lucas74@example.org,2024-06-13,PREMIUM,True
189,Brandy Hebert,mcgeejimmy@example.com,2025-06-07,REGULAR,True
190,Carolyn Turner,michael09@example.com,2025-10-08,VIP,True
191,Laura Conway,anna40@example.net,2026-07-11,PREMIUM,True
192,Kenneth Smith,perezrebecca@example.org,2025-05-11,VIP,True
193,Emily Johnson,francisjonathan@example.com,2025-01-05,PREMIUM,True
194,Matthew Jones,courtneygutierrez@example.org,2024-11-10,PREMIUM,True
195,Sara Carlson,timothy81@example.org,2025-07-22,PREMIUM,True
196,Catherine Sanders,scottdavis@example.net,2024-02-05,REGULAR,True
197,Edward Williams,brandonheath@example.org,2024-08-17,VIP,True
198,Steven Hernandez,lamalexander@example.org,2026-07-05,VIP,True
199,Traci Owens,seanacosta@example.com,2024-08-14,REGULAR,True
200,Melissa Finley,allenmoore@example.com,2025-02-23,PREMIUM,True
201,Jaime Webb,cmyers@example.net,2024-05-11,PREMIUM,True
