customer_id,customer_name,email,registration_date,customer_type
1,Micheal Larsen,christina78@example.com,2025-12-29,VIP
2,Jeffrey Phillips,michelle68@example.net,2026-05-01,VIP
3,Latoya Perry,patricia61@example.com,2026-06-08,REGULAR
4,Bethany Santana,wanda38@example.com,2026-02-20,VIP
5,Ashley Harper,dianafischer@example.org,2024-01-12,PREMIUM
6,Amy Stark,rdavis@example.org,2025-01-09,VIP
7,Christopher Cox Jr.,lance86@example.net,2024-07-30,VIP
8,Scott Holmes,ferrellcharles@example.com,2026-06-15,VIP
9,Shawn Moore,chapmankyle@example.org,2024-05-26,PREMIUM
10,Janice Salas,uavila@example.com,2026-06-13,PREMIUM
11,Gina Wood,friedmanshaun@example.org,2025-09-11,VIP
12,Jonathan Greer,reyesmary@example.com,2024-08-15,PREMIUM
13,Leslie Krause,jacob29@example.com,2024-07-19,REGULAR
14,Loretta Graham,qalvarez@example.com,2023-10-25,PREMIUM
15,Ian Mcdonald,angelacoleman@example.org,2024-11-13,REGULAR
16,Jessica Berger,bwilliams@example.com,2023-07-25,PREMIUM
17,John Cruz,alyssa13@example.com,2025-04-21,VIP
18,Ricardo Perez,wstephens@example.org,2025-12-30,VIP
19,Anthony Davis,robertbennett@example.org,2024-03-29,VIP
20,Jessica Carrillo,rogerssandra@example.net,2023-08-30,REGULAR
21,Matthew Foley,pughterrance@example.com,2026-05-04,VIP
22,James Padilla,luceroamy@example.org,2025-09-20,REGULAR
23,Alexis Heath,andersongloria@example.org,2024-01-02,VIP
24,Amber Bowman,mooremichelle@example.net,2023-10-31,PREMIUM
25,Matthew Smith Jr.,ucoleman@example.net,2024-10-07,REGULAR
26,Donald Bishop,nmelton@example.org,2023-08-08,PREMIUM
27,Monique Snyder,henrysamantha@example.com,2025-04-07,REGULAR
28,Megan Baker,carolineallen@example.com,2024-12-26,VIP
29,Crystal Obrien,hayesjeremy@example.net,2023-12-27,REGULAR
30,Jordan Jackson,odavis@example.org,2024-12-10,PREMIUM
31,Todd Estrada,landrews@example.com,2025-07-29,REGULAR
32,John Holmes,chadgreen@example.com,2025-08-03,PREMIUM
33,Terry Ware,invalidemail.com,2023-11-10,VIP
34,Richard Riley,michael24@example.net,2024-10-27,REGULAR
